,Player,Pos,Age,Club,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,MP
14,Mislav Oršić,FW,29.0,1.hr Dinamo Zagreb,6.0,1,162.0,1.8,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.56,1.11,1.67,0.56,1.67,0.4,0.4,1.1,1.4,0.23,0.68,0.9,0.23,0.9,Matches,Croatia,
15,Lovro Majer,"MF,FW",24.0,1.fr Rennes,7.0,1,130.0,1.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.69,0.0,0.69,0.69,0.69,0.7,0.7,0.1,0.8,0.67,0.07,0.74,0.67,0.74,Matches,Croatia,
16,Borna Barišić,DF,29.0,1.sct Rangers,1.0,1,120.0,1.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.02,0.12,0.14,0.02,0.14,Matches,Croatia,
17,Josip Stanišić,DF,22.0,1.de Bayern Munich,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,Croatia,
18,Josip Šutalo,DF,22.0,1.hr Dinamo Zagreb,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Croatia,
19,Ante Budimir,FW,30.0,1.es Osasuna,2.0,0,55.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.37,0.07,0.44,0.37,0.44,Matches,Croatia,
20,Kristijan Jakić,FW,25.0,1.de Eint Frankfurt,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Croatia,
21,Martin Erlic,DF,24.0,1.it Sassuolo,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Croatia,
22,Ivo Grbić,GK,26.0,1.es Atlético Madrid,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Croatia,
23,Ivica Ivušić,GK,27.0,1.hr Osijek,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Croatia,
24,Luka Sučić,MF,19.0,1.at RB Salzburg,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Croatia,
25,Domagoj Vida,"DF,MF",33.0,1.gr AEK Athens,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Croatia,
26,Squad Total,,28.3,,7.0,77,690.0,7.7,8.0,8.0,8.0,0.0,0.0,8.0,0.0,1.04,1.04,2.09,1.04,2.09,7.0,7.0,5.6,12.6,0.91,0.74,1.65,0.91,1.65,,Croatia,
27,Opponent Total,,27.5,,7.0,77,690.0,7.7,7.0,4.0,6.0,1.0,1.0,11.0,0.0,0.91,0.52,1.43,0.78,1.3,11.0,10.3,6.6,16.9,1.44,0.86,2.3,1.34,2.2,,Croatia,
0,Sofyan Amrabat,MF,25.0,1.it Fiorentina,7.0,7,660.0,7.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.01,0.01,0.0,0.01,Matches,Morocco,
1,Hakim Ziyech,FW,29.0,1.eng Chelsea,7.0,7,635.0,7.1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.14,0.14,0.28,0.14,0.28,0.4,0.4,0.7,1.1,0.06,0.1,0.16,0.06,0.16,Matches,Morocco,
2,Achraf Hakimi,DF,23.0,1.fr Paris S-G,7.0,7,631.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.14,0.1,0.1,0.5,0.6,0.02,0.07,0.09,0.02,0.09,Matches,Morocco,
